    q                Pres               HL               x  zsrefInput         mt
10.000000       102000.000000       1000.000000         0.000296        0.646830          0.000418
20.000000       102000.000000       1000.000000         0.000352        0.614000          0.000785
30.000000       102000.000000       1000.000000         0.000443        0.566840          0.001114
40.000000       102000.000000       1000.000000         0.000538        0.524760          0.001407
50.000000       102000.000000       1000.000000         0.000644        0.484060          0.001662
60.000000       102000.000000       1000.000000         0.000759        0.446750          0.001885
70.000000       102000.000000       1000.000000         0.000859        0.418030          0.002095
80.000000       102000.000000       1000.000000         0.000968        0.390960          0.002280
90.000000       102000.000000       1000.000000         0.001064        0.369380          0.002458
100.000000       102000.000000       1000.000000         0.001169        0.348600          0.002616
110.000000       102000.000000       1000.000000         0.001271        0.330250          0.002762
120.000000       102000.000000       1000.000000         0.001372        0.313870          0.002899
130.000000       102000.000000       1000.000000         0.001472        0.299140          0.003027
140.000000       102000.000000       1000.000000         0.001562        0.286840          0.003155
