    q                Pres               HL               x  zsrefInput         mt
50.000000       21462.900000       0.100000         0.000141        0.232335          0.000216
60.000000       21462.900000       0.100000         0.000171        0.230025          0.000240
70.000000       21462.900000       0.100000         0.000213        0.226725          0.000271
80.000000       21462.900000       0.100000         0.000258        0.223590          0.000301
90.000000       21462.900000       0.100000         0.000279        0.222380          0.000314
100.000000       21462.900000       0.100000         0.000327        0.219245          0.000343
120.000000       21462.900000       0.100000         0.000403        0.215065          0.000385
130.000000       21462.900000       0.100000         0.000434        0.213470          0.000401
140.000000       21462.900000       0.100000         0.000486        0.210940          0.000426
150.000000       21462.900000       0.100000         0.000760        0.199720          0.000568
