    q                Pres               HL               x               zsref              mt
10.000000       101325.000000       0.200000         0.000039         0.088130          0.000206
70.000000       101325.000000       0.200000         0.000605         0.070630          0.000545
80.000000       101325.000000       0.200000         0.000684         0.065170          0.000583
90.000000       101325.000000       0.200000         0.000758         0.060620          0.000617
100.000000       101325.000000       0.200000         0.000831         0.056700          0.000648
110.000000       101325.000000       0.200000         0.000902         0.053340          0.000677
120.000000       101325.000000       0.200000         0.000972         0.050400          0.000704
130.000000       101325.000000       0.200000         0.001039         0.047810          0.000729
140.000000       101325.000000       0.200000         0.001105         0.045500          0.000752
150.000000       101325.000000       0.200000         0.001171         0.043400          0.000775
