    q                Pres               HL              x               zsref              mt
10.000000       101325.000000       0.300000         0.000074         0.117180          0.000225
60.000000       101325.000000       0.300000         0.000745         0.092190          0.000595
70.000000       101325.000000       0.300000         0.000852         0.083650          0.000641
80.000000       101325.000000       0.300000         0.000954         0.076720          0.000682
90.000000       101325.000000       0.300000         0.001056         0.070910          0.000720
100.000000       101325.000000       0.300000         0.001154         0.066010          0.000755
110.000000       101325.000000       0.300000         0.001248         0.061810          0.000787
120.000000       101325.000000       0.300000         0.001342         0.058170          0.000816
130.000000       101325.000000       0.300000         0.001433         0.054950          0.000844
140.000000       101325.000000       0.300000         0.001522         0.052080          0.000870
150.000000       101325.000000       0.300000         0.001607         0.049560          0.000893
